features,accuracy,true_negative,false_positive,false_negative,true_positive,Cost
"['feature_34', 'feature_206', 'feature_478']",0.834183673,319,47,18,8,1010
"['feature_34', 'feature_206', 'feature_520']",0.831632653,314,52,14,12,940
"['feature_34', 'feature_248', 'feature_342']",0.778061224,298,68,19,7,1250
"['feature_34', 'feature_248', 'feature_478']",0.844387755,322,44,17,9,950
"['feature_34', 'feature_248', 'feature_520']",0.719387755,275,91,19,7,1480
"['feature_34', 'feature_342', 'feature_478']",0.839285714,319,47,16,10,950
"['feature_34', 'feature_342', 'feature_520']",0.793367347,299,67,14,12,1090
"['feature_34', 'feature_478', 'feature_520']",0.81377551,308,58,15,11,1030
"['feature_60', 'feature_122', 'feature_131']",0.831632653,321,45,21,5,1080
"['feature_60', 'feature_122', 'feature_206']",0.831632653,320,46,20,6,1060
"['feature_60', 'feature_122', 'feature_248']",0.831632653,320,46,20,6,1060
"['feature_60', 'feature_122', 'feature_342']",0.844387755,326,40,21,5,1030
"['feature_60', 'feature_122', 'feature_478']",0.81122449,313,53,21,5,1160
"['feature_60', 'feature_122', 'feature_520']",0.806122449,307,59,17,9,1100
"['feature_60', 'feature_131', 'feature_206']",0.795918367,305,61,19,7,1180
"['feature_60', 'feature_131', 'feature_248']",0.808673469,309,57,18,8,1110
"['feature_60', 'feature_131', 'feature_342']",0.823979592,316,50,19,7,1070
"['feature_60', 'feature_131', 'feature_478']",0.818877551,312,54,17,9,1050
"['feature_60', 'feature_131', 'feature_520']",0.785714286,299,67,17,9,1180
"['feature_60', 'feature_206', 'feature_248']",0.806122449,310,56,20,6,1160
"['feature_60', 'feature_206', 'feature_342']",0.795918367,306,60,20,6,1200
"['feature_60', 'feature_206', 'feature_478']",0.732142857,280,86,19,7,1430
"['feature_60', 'feature_206', 'feature_520']",0.801020408,308,58,20,6,1180
"['feature_60', 'feature_248', 'feature_342']",0.831632653,320,46,20,6,1060
"['feature_60', 'feature_248', 'feature_478']",0.793367347,304,62,19,7,1190
"['feature_60', 'feature_248', 'feature_520']",0.744897959,281,85,15,11,1300
"['feature_60', 'feature_342', 'feature_478']",0.770408163,296,70,20,6,1300
"['feature_60', 'feature_342', 'feature_520']",0.803571429,308,58,19,7,1150
"['feature_60', 'feature_478', 'feature_520']",0.778061224,299,67,20,6,1270
"['feature_122', 'feature_131', 'feature_206']",0.849489796,328,38,21,5,1010
"['feature_122', 'feature_131', 'feature_248']",0.831632653,320,46,20,6,1060
"['feature_122', 'feature_131', 'feature_342']",0.836734694,323,43,21,5,1060
"['feature_122', 'feature_131', 'feature_478']",0.831632653,322,44,22,4,1100
"['feature_122', 'feature_131', 'feature_520']",0.862244898,331,35,19,7,920
"['feature_122', 'feature_206', 'feature_248']",0.839285714,321,45,18,8,990
